it,base_code,SP,TCT,ST,DG,KV,KH
Z_BL_0,BL,23.1588,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967,33.84789813858967
Z_BL_1,BL,0.0,0.0,22.642718287127483,10.160054921664559,33.84789813858967,33.84789813858967
Z_BL_2,BL,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_BL_3,BL,0.0,0.0,10.160054921664559,10.160054921664559,33.84789813858967,33.84789813858967
Z_BM_0,BM,11.5794,7.352606963350597,7.352606963350597,7.352606963350597,20.09049287047842,20.09049287047842
Z_BM_1,BM,0.0,0.0,7.352606963350597,7.352606963350597,20.09049287047842,20.09049287047842
Z_BM_2,BM,11.5794,7.352606963350597,7.352606963350597,20.09049287047842,20.09049287047842,20.09049287047842
Z_BM_3,BM,0.0,0.0,7.352606963350597,0.0,20.09049287047842,20.09049287047842
Z_BN_0,BN,0.0,0.0,0.0,0.0,5.609402662654561,5.609402662654561
Z_BN_1,BN,0.0,0.0,0.0,0.0,5.609402662654561,5.609402662654561
Z_BN_2,BN,0.0,0.0,0.0,0.0,5.609402662654561,5.609402662654561
Z_BN_3,BN,0.0,0.0,0.0,0.0,5.609402662654561,5.609402662654561
Z_BO_0,BO,0.0,0.0,7.812459866384772,7.812459866384772,20.508540964145855,20.508540964145855
Z_BP_0,BP,34.7382,48.749166908295656,48.749166908295656,39.654655999204735,48.749166908295656,48.749166908295656
Z_BP_1,BP,34.7382,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_BQ_0,BQ,11.5794,37.58461137110556,26.753102842894965,26.753102842894965,37.58461137110556,37.58461137110556
Z_BQ_1,BQ,34.7382,46.86730815547822,37.58461137110556,46.86730815547822,37.58461137110556,37.58461137110556
Z_BR_0,BR,0.0,24.87124409007753,12.61143330490962,12.61143330490962,35.87383068672609,35.87383068672609
Z_BR_1,BR,34.7382,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_BS_0,BS,0.0,10.900652620530144,10.900652620530144,0.0,34.459962352528166,34.459962352528166
Z_BS_1,BS,34.7382,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166
Z_BT_0,BT,0.0,0.0,9.48678428633222,0.0,33.291476125918315,33.291476125918315
Z_BT_1,BT,34.7382,33.291476125918315,33.291476125918315,33.291476125918315,33.291476125918315,33.291476125918315
Z_BU_0,BU,34.7382,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166
Z_BU_1,BU,0.0,0.0,23.315988922459823,10.900652620530144,34.459962352528166,34.459962352528166
Z_BU_2,BU,34.7382,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166
Z_BU_3,BU,0.0,0.0,10.900652620530144,10.900652620530144,34.459962352528166,34.459962352528166
Z_BV_0,BV,23.1588,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855
Z_BV_1,BV,0.0,0.0,7.812459866384772,7.812459866384772,20.508540964145855,20.508540964145855
Z_BV_2,BV,23.1588,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855
Z_BV_3,BV,0.0,0.0,7.812459866384772,0.0,20.508540964145855,20.508540964145855
Z_BW_0,BW,11.5794,5.894935135619135,5.894935135619135,5.894935135619135,5.894935135619135,5.894935135619135
Z_BW_1,BW,0.0,0.0,0.0,5.894935135619135,5.894935135619135,5.894935135619135
Z_BW_2,BW,11.5794,5.894935135619135,5.894935135619135,5.894935135619135,5.894935135619135,5.894935135619135
Z_BW_3,BW,0.0,0.0,0.0,0.0,5.894935135619135,5.894935135619135
Z_BX_0,BX,23.1588,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855
Z_BX_1,BX,0.0,0.0,7.812459866384772,7.812459866384772,20.508540964145855,20.508540964145855
Z_BX_2,BX,23.1588,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855,20.508540964145855
Z_BX_3,BX,0.0,0.0,7.812459866384772,7.812459866384772,20.508540964145855,20.508540964145855
Z_BY_0,BY,11.5794,6.55451514816731,6.55451514816731,6.55451514816731,6.55451514816731,6.55451514816731
Z_BY_1,BY,0.0,0.0,6.55451514816731,6.55451514816731,6.55451514816731,6.55451514816731
Z_BY_2,BY,11.5794,6.55451514816731,6.55451514816731,6.55451514816731,6.55451514816731,6.55451514816731
Z_BY_3,BY,0.0,0.0,6.55451514816731,0.0,6.55451514816731,6.55451514816731
Z_BZ_0,BZ,46.3176,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_BZ_1,BZ,34.7382,39.654655999204735,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_BZ_2,BZ,46.3176,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_BZ_3,BZ,34.7382,39.654655999204735,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_CA_0,CA,34.7382,37.58461137110556,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822
Z_CA_1,CA,34.7382,37.58461137110556,46.86730815547822,37.58461137110556,46.86730815547822,46.86730815547822
Z_CA_2,CA,34.7382,37.58461137110556,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822
Z_CA_3,CA,34.7382,37.58461137110556,46.86730815547822,37.58461137110556,46.86730815547822,46.86730815547822
Z_CB_0,CB,23.1588,24.87124409007753,24.87124409007753,24.87124409007753,35.87383068672609,35.87383068672609
Z_CB_1,CB,34.7382,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_CB_2,CB,23.1588,24.87124409007753,24.87124409007753,24.87124409007753,35.87383068672609,35.87383068672609
Z_CB_3,CB,34.7382,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_CC_0,CC,11.5794,10.900652620530144,10.900652620530144,10.900652620530144,34.459962352528166,34.459962352528166
Z_CC_1,CC,34.7382,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166
Z_CC_2,CC,11.5794,10.900652620530144,23.315988922459823,10.900652620530144,34.459962352528166,34.459962352528166
Z_CC_3,CC,34.7382,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166
Z_CD_0,CD,34.7382,35.13323298786051,35.13323298786051,35.13323298786051,35.13323298786051,35.13323298786051
Z_CD_1,CD,0.0,0.0,24.0565866213254,11.715310089282275,35.13323298786051,35.13323298786051
Z_CD_2,CD,34.7382,35.13323298786051,35.13323298786051,35.13323298786051,35.13323298786051,35.13323298786051
Z_CD_3,CD,0.0,0.0,24.0565866213254,35.13323298786051,35.13323298786051,35.13323298786051
Z_CE_0,CE,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_CE_1,CE,0.0,0.0,22.642718287127483,10.160054921664559,33.84789813858967,33.84789813858967
Z_CE_2,CE,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_CE_3,CE,0.0,0.0,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_CF_0,CF,11.5794,8.87472007239373,8.87472007239373,8.87472007239373,21.47423206051763,21.47423206051763
Z_CF_1,CF,0.0,0.0,21.47423206051763,8.87472007239373,21.47423206051763,21.47423206051763
