it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D
Z_CW_1,CW,0.36987013,31.53476,0.36987013,31.53476,12.806826,20.869944,12.253674,21.110033,34.09169,34.091427,34.09169,34.091427
Z_CW_2,CW,34.09169,34.091187,34.09169,34.091187,34.09169,34.091427,34.09169,34.091427,34.09169,34.091427,34.09169,34.091427
Z_CW_3,CW,0.3698924,31.534811,0.3698924,31.534811,12.806723,20.8699,1.2630657,29.268478,34.09169,34.091427,34.09169,34.091427
Z_CX_0,CX,22.616758,22.616209,24.235916,24.23534,24.941319,24.941044,24.941374,24.941097,34.93244,34.93218,34.93244,34.932182
Z_CX_1,CX,22.616758,22.616209,24.235916,24.23534,24.941282,24.941008,25.715187,27.561445,34.932438,34.93217,34.932438,34.93215
Z_CX_2,CX,22.616724,22.616175,24.235847,24.235271,24.941326,24.94105,25.018848,25.166317,34.932446,34.932182,34.932446,34.93217
Z_CX_3,CX,22.616724,22.616175,24.235847,24.235271,24.941263,24.940989,24.235847,24.235582,34.932415,34.93215,34.932415,34.932167
Z_CY_0,CY,22.4661,22.465586,23.190773,23.190203,23.795387,23.795126,24.413647,24.413363,24.413624,24.41334,24.413624,24.4133
Z_CY_1,CY,10.869461,18.765133,11.660219,18.520044,12.664033,19.013346,23.190773,23.190506,24.413544,24.41326,24.413544,24.41326
Z_CY_2,CY,22.466084,22.465569,23.190742,23.190172,23.795393,23.79513,23.795362,23.795101,24.413624,24.41334,24.413624,24.413326
Z_CY_3,CY,10.869416,18.76516,11.660151,18.520073,12.15149,19.765266,12.113973,15.59508,24.413544,24.41326,24.413544,24.413279
Z_CZ_0,CZ,22.228909,22.228378,22.228909,22.228378,22.228909,22.228645,22.228909,22.228645,22.228909,22.228645,22.228909,22.228645
Z_CZ_1,CZ,0.109817624,18.394958,0.109817624,18.394958,1.1899204,13.819607,11.466489,11.466222,22.228909,22.228645,22.228909,22.228645
Z_CZ_2,CZ,22.228909,22.228378,22.228909,22.228378,22.228909,22.228645,22.228909,22.228645,22.228909,22.228645,22.228909,22.228645
Z_CZ_3,CZ,0.109832436,18.394987,0.109832436,18.394987,1.1899476,13.819656,0.35202086,14.568657,22.228909,22.228645,22.228909,22.228645
Z_DA_0,DA,10.918904,19.225254,12.158956,18.568096,12.209452,20.801483,12.70905,19.14018,24.614468,24.614195,24.614468,26.435888
Z_DA_1,DA,22.515,22.514448,23.91629,23.915722,24.614433,24.614159,25.380941,26.435934,24.614445,24.614172,24.614445,26.435926
Z_DA_2,DA,10.918854,19.225279,12.158841,18.568125,12.708878,19.140219,12.225199,25.048805,24.61452,24.614246,24.61452,26.435911
Z_DA_3,DA,22.514977,22.514425,23.916225,23.915655,24.614414,24.614141,23.916225,23.915968,24.61445,24.61418,24.61445,26.43594
Z_DB_0,DB,10.78373,13.131688,11.960586,13.258966,12.012871,13.869503,12.543398,18.620253,12.543277,18.620302,12.543277,22.8785
Z_DB_1,DB,10.7779255,11.43204,11.560011,12.200581,12.543278,18.620266,22.878777,22.87851,12.543231,18.620275,12.543231,22.878492
Z_DB_2,DB,10.783697,13.1317005,11.960475,13.259013,12.012814,13.869553,12.0128145,13.869533,12.543398,18.620253,12.543398,22.87851
Z_DB_3,DB,10.777892,11.432055,11.559942,12.200609,12.047343,18.647116,11.960475,13.192249,12.543244,18.62027,12.543244,22.87848
